Tweet,Sentiment
is upset that he can't update his Facebook by texting it... and might cry as a result School today ...,0
@Kenichan I dived many times for the ball. Managed to save 50% The rest go out of bounds,0
my whole body feels itchy and like its on fire,0
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all o...",0
@peacelovesadie and that wasn't a good thing  sorry u had a rough night,0
Wolverine was awesome!!! Too bad the special effects sucked ,0
My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot,0
"I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",0
Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,0
sad that the 'feet' of my macbook just fell off,0
I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad,0
seriously needs to finish these job applications,0
"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone.",0
"Argh! I was suuuper sleepy an hour ago, now I'm wide awake. Hope I don't stay up all night. :-/",0
twiggassssssss I been out of range all day  I'm back now and hopefully for good.,0
Just watched tropic thunder. Dreading tomorrow,0
anyone who reads this pray for my Grandma. She's in pain ,0
Poor Joshy is sick??? those damn tejanos!,0
Su yin Huen tweeted I feel unbearable guilt. I made my staff cry http://tinyurl.com/cw2l9t,0
wishing i was home underneath my covers,0
walking home from school drains all my energy,0
Shout out to all my fresh out the box shorties wish i couldve partied wit yall lastnite but a nigga had 2 work  waitin for 7 i need sleep,0
I wish I was better at writing. It's taking me so long to write this paper.,0
michigan state you make me sad,0
@hyperbets i hope this doesn't last too long. i feel miserable!,0
stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off!,0
feeling down,0
listening to nathan cry....,0
Its raining again... and again I'm alone... I am missing her again... and again I can talk to none.. Its raining... wish I could drench! ,0
today sucked. I'm gonna die without chris and callum! wahhh!,0
Keeping my fingers crossed for my buddy He is not feeling well.,0
RIP Sandra....its so sad how can someone do something like that??,0
@Steve_Buscemi the weather in Canada is freezing,0
gotta do my cooking assignment its too hard,0
@honeyb1104 u know what I wanted to have faith in u last nite but what else shud I expect from a knick fan besides DISAPPOINTMENT! Lol,0
Uh oh... I think I am getting sick,0
I'm so upset that I missed my chat and quiz online because my free internet has ceased,0
my throat is raw.,0
"Monday morning, waiting for the results of my blood tests for the white cell count, I hate chemo - couldn't watch the Farrah documentary ",0
"You know, I was thinking... I need money",0
Just lost $160,0
has a huuuge headache! omg I feel like crap!,0
I'm about to set out on the 9 hour drive back to Virginia to start my summer of.... work ,0
"At meli's crib chillin, went to go get some breakfast, got a flat on my way back to meli's ",0
Dammit... I need to stop buying furniture,0
I just chose the wrong hour to go a dog walk Skies opened down came a LOT of rain. House now filled with wet dog aroma ,0
"pissed because his phone just stopped working Saturday! He's buying a new one on ebay, so you can't call him for a couple of days. ",0
Fraking app store is pissing me off http://tinyurl.com/c4ooho,0
I am soaked. This is not pleasant,0
@Eric_Urbane Sounds like a rival is flagging your ads. Not much you can do about that though,0
has to resit exams over summer...  wishes he worked harder at first year of uni...,4
im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,4
"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart.",4
"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",4
@LovesBrooklyn2 he has that effect on everyone,4
@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,4
@r_keith_hill Thans for your response. Ihad already find this answer,4
"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!!",4
"@tommcfly ah, congrats mr fletcher for finally joining twitter",4
@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors,4
crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB!,4
happy to spend time with the family. ,4
@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up,4
Going to go and read new moon for the 3rd time  I cant get enough of twilight series,4
@KourtneyKardash Can't get up early enough!!!  Night workouts are much better.,4
"Morning Tweetland, a long day ahead! Hope everyone has a great day",4
@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p,4
@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I],4
"ust observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving ",4
@leiabox so what can you tell us about it? I'm totally geeking out right now,4
"@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to",4
@drdrew *gives a hug and a cookie* Hope you feel better!,4
"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE",4
had a good tech meeting at clubZone - dinner was sushi,4
@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!,4
@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about,4
@LaurUy West.  Mostly San Jose and San Francisco.,4
"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her.",4
21 Days till chris comes home and 67 days till summer ,4
@therealjspace am I the first one to tell you you tweet the most while drinking! LOL.,4
Easy Rider till I fall asleep,4
"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix.",4
@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home,4
@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now ,4
"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",4
@suitelifeofkell that's freakin' cooool   i love twitter .haha,4
why does Brissa not even know she has a twitter? -Lauren ,4
@amandahesser thanks!  i couldn't have done it without you,4
... 31 days until I leave for Ontario!! ,4
"@iamdiddy I hate it too, but I just got back from the trainer. Go! ",4
@nikhilnarayanan saw the tvc yesterday.. worked for me,4
Jon could totally say Mannies and Peddies and I would shut my fat face about it.,4
"ood luck for Lauren and the rest of the cast of TBS, can't wait for something to leak ",4
@izzakizza nada just tryna holla holla.   hows the mixtape coming up?,4
"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.",4
@kayotae Just had a martini myself.,4
city all day soo happy to be home. school in the morning,4
"""@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  ",4
"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",4